"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","23-Apr-2018","         70.85","         71.70","         72.30","         70.70","         71.60","         71.65","         71.42","   10058839","           718416455.20","      30670","    2995838","         29.78"
"IDEA","EQ","24-Apr-2018","         71.65","         71.30","         71.60","         70.15","         71.20","         71.05","         70.83","   10562502","           748134024.65","      30587","    2771981","         26.24"
"IDEA","EQ","25-Apr-2018","         71.05","         71.95","         72.70","         70.70","         71.40","         71.40","         71.45","   16500330","          1178969375.20","      30628","    7416543","         44.95"
"IDEA","EQ","26-Apr-2018","         71.40","         71.60","         71.75","         67.55","         68.20","         68.40","         68.96","   33670014","          2321860972.60","      70251","   15515658","         46.08"
"IDEA","EQ","27-Apr-2018","         68.40","         69.25","         70.10","         68.25","         68.75","         68.80","         69.37","   13566533","           941101283.30","      43572","    6267692","         46.20"
"IDEA","EQ","30-Apr-2018","         68.80","         71.85","         71.85","         68.10","         69.20","         69.15","         69.28","   15895319","          1101203735.05","      47618","    3179499","         20.00"
"IDEA","EQ","02-May-2018","         69.15","         69.40","         69.40","         66.50","         67.60","         67.25","         67.69","   12655281","           856622624.90","      45108","    5336237","         42.17"
"IDEA","EQ","03-May-2018","         67.25","         67.20","         67.45","         63.50","         63.90","         63.95","         64.47","   22821297","          1471385129.95","      63420","   13274642","         58.17"
"IDEA","EQ","04-May-2018","         63.95","         64.00","         64.75","         61.50","         62.50","         62.50","         62.95","   22056640","          1388383871.15","      61535","   10211814","         46.30"
"IDEA","EQ","07-May-2018","         62.50","         63.05","         63.40","         62.10","         62.35","         62.40","         62.68","   10017408","           627884318.60","      23276","    4144688","         41.37"
"IDEA","EQ","08-May-2018","         62.40","         62.80","         62.80","         60.10","         61.10","         61.15","         61.25","   14039232","           859942162.90","      32331","    4945777","         35.23"
"IDEA","EQ","09-May-2018","         61.15","         60.90","         61.75","         60.30","         60.35","         60.65","         61.02","    8767450","           534976315.05","      24929","    1988078","         22.68"
"IDEA","EQ","10-May-2018","         60.65","         60.75","         60.75","         58.10","         58.50","         58.35","         58.97","   17558972","          1035447959.35","      46767","    7406020","         42.18"
"IDEA","EQ","11-May-2018","         58.35","         58.25","         58.25","         50.75","         51.55","         51.40","         52.84","   79589877","          4205476515.60","     153929","   25689524","         32.28"
"IDEA","EQ","14-May-2018","         51.40","         51.30","         53.25","         50.10","         51.10","         51.75","         51.88","   37220470","          1930869371.90","      83033","   10141889","         27.25"
"IDEA","EQ","15-May-2018","         51.75","         51.50","         53.80","         51.30","         53.10","         53.10","         52.50","   24617544","          1292348656.40","      51615","    6604351","         26.83"
"IDEA","EQ","16-May-2018","         53.10","         53.00","         53.65","         52.20","         52.55","         52.75","         52.72","   13338148","           703208565.55","      28603","    4036802","         30.27"
"IDEA","EQ","17-May-2018","         52.75","         52.55","         53.60","         52.30","         52.85","         52.65","         52.77","   15388110","           812000510.35","      20860","    6724241","         43.70"
"IDEA","EQ","18-May-2018","         52.65","         53.00","         53.20","         51.50","         52.10","         52.10","         52.30","   14699753","           768749386.10","      34652","    5989122","         40.74"
"IDEA","EQ","21-May-2018","         52.10","         52.30","         53.35","         51.95","         52.85","         52.85","         52.61","    7611669","           400482116.35","      18745","    1501861","         19.73"
"IDEA","EQ","22-May-2018","         52.85","         52.95","         55.90","         52.35","         55.00","         54.90","         54.63","   15095572","           824625048.05","      42344","    2289750","         15.17"
"IDEA","EQ","23-May-2018","         54.90","         55.00","         56.10","         54.05","         54.55","         54.65","         55.21","   11624433","           641831919.55","      21931","    4683450","         40.29"
"IDEA","EQ","24-May-2018","         54.65","         54.95","         57.85","         54.75","         57.45","         56.90","         55.79","   15926022","           888491154.90","      28695","    6775282","         42.54"
"IDEA","EQ","25-May-2018","         56.90","         57.85","         61.25","         57.00","         59.70","         59.75","         59.74","   28544212","          1705268754.15","     104453","    4849093","         16.99"
"IDEA","EQ","28-May-2018","         59.75","         60.85","         61.95","         59.80","         61.35","         61.35","         60.65","   10692683","           648491434.05","      44779","    2278259","         21.31"
"IDEA","EQ","29-May-2018","         61.35","         61.50","         63.20","         60.95","         62.30","         62.30","         62.49","   16978988","          1061089770.70","      63922","    5436547","         32.02"
"IDEA","EQ","30-May-2018","         62.30","         62.00","         63.00","         60.90","         61.55","         61.85","         62.07","   14810946","           919269607.65","      66547","    3968974","         26.80"
"IDEA","EQ","31-May-2018","         61.85","         62.00","         62.95","         60.45","         61.90","         61.50","         61.62","   23784601","          1465720448.90","      48945","   10813694","         45.47"
"IDEA","EQ","01-Jun-2018","         61.50","         63.00","         63.00","         60.95","         61.90","         61.80","         62.08","   12836665","           796924528.15","      46168","    2123654","         16.54"
"IDEA","EQ","04-Jun-2018","         61.80","         62.80","         63.70","         61.80","         62.75","         62.90","         62.86","   10720038","           673873765.15","      36187","    2146817","         20.03"
"IDEA","EQ","05-Jun-2018","         62.90","         63.85","         63.85","         55.30","         56.25","         56.55","         58.61","   39333464","          2305460677.00","      96290","    5999692","         15.25"
"IDEA","EQ","06-Jun-2018","         56.55","         56.00","         59.45","         55.35","         59.00","         58.95","         58.07","   21605255","          1254535496.30","      61231","    1974075","          9.14"
"IDEA","EQ","07-Jun-2018","         58.95","         59.00","         62.35","         59.00","         61.65","         61.80","         60.90","   14703905","           895436514.85","      45563","    1601746","         10.89"
"IDEA","EQ","08-Jun-2018","         61.80","         61.70","         64.80","         60.80","         64.40","         64.15","         63.36","   21059875","          1334360825.10","      51973","    3806068","         18.07"
"IDEA","EQ","11-Jun-2018","         64.15","         64.70","         65.35","         63.10","         63.70","         63.75","         64.42","   12188544","           785244222.20","      37618","    2461312","         20.19"
"IDEA","EQ","12-Jun-2018","         63.75","         63.70","         65.85","         63.05","         65.55","         65.25","         64.49","   12612287","           813348497.95","      36725","    3355592","         26.61"
"IDEA","EQ","13-Jun-2018","         65.25","         64.35","         64.50","         60.95","         61.50","         61.50","         62.16","   22298778","          1386193744.50","      56962","    3959236","         17.76"
"IDEA","EQ","14-Jun-2018","         61.50","         61.55","         63.10","         61.55","         62.90","         62.80","         62.30","    9864682","           614575999.30","      30136","    1459228","         14.79"
"IDEA","EQ","15-Jun-2018","         62.80","         62.30","         63.30","         60.15","         60.50","         60.65","         61.00","   27317317","          1666259376.75","      50893","   13293479","         48.66"
"IDEA","EQ","18-Jun-2018","         60.65","         62.70","         63.20","         61.70","         62.20","         62.25","         62.40","   17051922","          1064002553.35","      40190","    2046536","         12.00"
"IDEA","EQ","19-Jun-2018","         62.25","         62.20","         62.50","         61.10","         61.90","         61.70","         61.79","    8070353","           498659764.55","      19558","    1917447","         23.76"
"IDEA","EQ","20-Jun-2018","         61.70","         62.90","         62.95","         61.25","         61.45","         61.50","         61.75","    8886621","           548791653.10","      25820","    2035373","         22.90"
"IDEA","EQ","21-Jun-2018","         61.50","         61.90","         61.90","         60.30","         60.95","         60.80","         60.89","    6144029","           374113445.15","      19630","    1490441","         24.26"
"IDEA","EQ","22-Jun-2018","         60.80","         61.00","         61.10","         60.15","         60.60","         60.55","         60.52","    5552283","           336048006.90","      18347","    1451261","         26.14"
"IDEA","EQ","25-Jun-2018","         60.55","         60.05","         60.20","         55.60","         56.20","         56.00","         56.88","   28254191","          1607155781.05","      70190","    4775420","         16.90"
"IDEA","EQ","26-Jun-2018","         56.00","         56.00","         58.35","         55.20","         57.70","         57.95","         57.34","   25727556","          1475121916.20","      57477","    4097217","         15.93"
"IDEA","EQ","27-Jun-2018","         57.95","         58.00","         58.75","         54.50","         55.65","         55.70","         56.44","   16551679","           934192548.30","      39556","    1619531","          9.78"
"IDEA","EQ","28-Jun-2018","         55.70","         55.70","         57.40","         54.80","         56.70","         56.70","         56.28","   17683835","           995246801.90","      37735","    5554272","         31.41"
"IDEA","EQ","29-Jun-2018","         56.70","         58.00","         59.80","         55.80","         58.95","         59.35","         58.15","   13211851","           768213540.45","      39002","    3220075","         24.37"
"IDEA","EQ","02-Jul-2018","         59.35","         58.90","         58.95","         55.65","         56.70","         57.05","         57.05","   11168220","           637150953.15","      28819","    1426505","         12.77"
"IDEA","EQ","03-Jul-2018","         57.05","         57.75","         57.95","         56.10","         56.75","         56.80","         57.06","   10296382","           587530059.10","      36176","    1333938","         12.96"
"IDEA","EQ","04-Jul-2018","         56.80","         56.80","         57.10","         55.05","         55.20","         55.15","         55.65","   10186599","           566875142.05","      25746","    2544813","         24.98"
"IDEA","EQ","05-Jul-2018","         55.15","         54.70","         56.25","         53.55","         54.25","         54.50","         54.51","   17648765","           962078634.25","      46154","    1766423","         10.01"
"IDEA","EQ","06-Jul-2018","         54.50","         53.90","         55.30","         53.80","         54.70","         54.70","         54.76","    9225542","           505173688.45","      69486","    2835419","         30.73"
"IDEA","EQ","09-Jul-2018","         54.70","         55.20","         55.70","         54.40","         54.65","         54.60","         54.91","    7224628","           396672913.05","      18127","    1318019","         18.24"
"IDEA","EQ","10-Jul-2018","         54.60","         56.40","         57.00","         55.05","         55.85","         55.80","         56.15","   17081234","           959083522.60","      38558","    1803636","         10.56"
"IDEA","EQ","11-Jul-2018","         55.80","         56.20","         56.20","         52.65","         54.10","         54.05","         54.08","   17271933","           934016372.85","      39342","    3479938","         20.15"
"IDEA","EQ","12-Jul-2018","         54.05","         54.05","         55.35","         53.75","         54.60","         54.35","         54.46","   14458513","           787478888.90","      35072","    1453980","         10.06"
"IDEA","EQ","13-Jul-2018","         54.35","         54.35","         54.70","         52.85","         53.55","         53.35","         53.42","   18900856","          1009768808.85","      56119","    6758051","         35.76"
"IDEA","EQ","16-Jul-2018","         53.35","         53.00","         54.50","         52.15","         52.50","         52.45","         53.03","   20848550","          1105687252.35","      53160","    8820961","         42.31"
"IDEA","EQ","17-Jul-2018","         52.45","         52.50","         53.20","         51.50","         52.40","         52.45","         52.48","   22131264","          1161431426.65","      31664","   14161154","         63.99"
"IDEA","EQ","18-Jul-2018","         52.45","         52.50","         52.95","         48.30","         50.20","         50.00","         50.17","   29264511","          1468215248.80","      70718","   12598301","         43.05"
"IDEA","EQ","19-Jul-2018","         50.00","         50.00","         50.80","         48.70","         50.75","         50.40","         50.01","    8514282","           425806807.75","      19877","     994755","         11.68"
"IDEA","EQ","20-Jul-2018","         50.40","         50.20","         51.65","         49.20","         50.95","         51.15","         50.34","    7199661","           362463196.70","      19182","     877684","         12.19"
